Area,Confirmed,Deaths,death_rate,WHO Region
Yemen,1691,483,28.562980484920164,Eastern Mediterranean
United Kingdom,301708,45844,15.194824134593713,Europe
Belgium,66428,9822,14.785933642439936,Europe
Italy,246286,35112,14.256595990027854,Europe
France,220352,30212,13.71079000871333,Europe
Hungary,4448,596,13.399280575539569,Europe
Netherlands,53413,6160,11.532772920450078,Europe
Mexico,395489,44022,11.131030193001576,Americas
Spain,272421,28432,10.436787178668311,Europe
Western Sahara,10,1,10.0,Africa
Chad,922,75,8.134490238611713,Africa
Canada,116458,8944,7.68002198217383,Americas
Sweden,79395,5700,7.179293406385792,Europe
Ecuador,81161,5532,6.8160816155542685,Americas
Ireland,25892,1764,6.812915186157886,Europe
Barbados,110,7,6.363636363636363,Americas
Sudan,11424,720,6.302521008403361,Eastern Mediterranean
Liberia,1167,72,6.169665809768637,Africa
Niger,1132,69,6.095406360424029,Africa
San Marino,699,42,6.008583690987124,Europe
Syria,674,40,5.934718100890208,Eastern Mediterranean
Switzerland,34477,1978,5.737158105403602,Europe
Andorra,907,52,5.733186328555679,Europe
Slovenia,2087,116,5.558217537134643,Europe
Iran,293606,15912,5.419507775726654,Eastern Mediterranean
Trinidad and Tobago,148,8,5.405405405405405,Americas
China,86783,4656,5.365106069161011,Western Pacific
Guyana,389,20,5.141388174807198,Americas
Egypt,92482,4652,5.0301680326982545,Eastern Mediterranean
Mali,2513,124,4.934341424592121,Africa
Indonesia,100303,4838,4.82338514301666,South-East Asia
Burkina Faso,1100,53,4.818181818181818,Africa
Romania,45902,2206,4.805890810857915,Europe
Greece,4227,202,4.778802933522592,Europe
Peru,389717,18418,4.725993477318156,Americas
North Macedonia,10213,466,4.562812102222658,Europe
Denmark,13761,613,4.454618123682872,Europe
Finland,7398,329,4.447147877804812,Europe
Germany,207112,9125,4.405828730348796,Europe
Angola,950,41,4.315789473684211,Africa
Belize,48,2,4.166666666666666,Americas
Algeria,27973,1163,4.1575805240767885,Africa
Tanzania,509,21,4.12573673870334,Africa
Lithuania,2019,80,3.96235760277365,Europe
Iraq,112585,4458,3.9596749122884933,Eastern Mediterranean
Kyrgyzstan,33296,1301,3.9073762614127823,Europe
Guatemala,45309,1761,3.886645037409786,Americas
Poland,43402,1676,3.8615731993917333,Europe
Bolivia,71181,2647,3.718688975990784,Americas
Sierra Leone,1783,66,3.701626472237801,Africa
Brazil,2442375,87618,3.5874097957930293,Americas
Afghanistan,36263,1269,3.499434685492099,Eastern Mediterranean
Antigua and Barbuda,86,3,3.488372093023256,Americas
Austria,20558,713,3.46823620974803,Europe
USA,4290259,148011,3.4499315775574386,Americas
Monaco,116,4,3.4482758620689653,Europe
Tunisia,1455,50,3.436426116838488,Eastern Mediterranean
Cuba,2532,87,3.4360189573459716,Americas
Portugal,50299,1719,3.417562973418955,Europe
Colombia,257101,8777,3.4138334740043796,Americas
Estonia,2034,69,3.392330383480826,Europe
Bulgaria,10621,347,3.267112324639864,Europe
Moldova,23154,748,3.2305433186490458,Europe
Japan,31142,998,3.2046753580373775,Western Pacific
Nicaragua,3439,108,3.1404478045943587,Americas
Zambia,4552,140,3.0755711775043935,Africa
Albania,4880,144,2.9508196721311477,Europe
Honduras,39741,1166,2.933997634684583,Americas
Uruguay,1202,35,2.9118136439267883,Americas
Somalia,3196,93,2.909887359198999,Eastern Mediterranean
Mauritius,344,10,2.9069767441860463,Africa
Bahamas,382,11,2.8795811518324608,Americas
Croatia,4881,139,2.8477770948576113,Europe
Bosnia and Herzegovina,10498,294,2.8005334349399886,Europe
Norway,9132,255,2.7923784494086727,Europe
El Salvador,15035,408,2.7136681077485867,Americas
Malawi,3664,99,2.7019650655021836,Africa
Chile,347923,9187,2.640526783225024,Americas
Latvia,1219,31,2.543068088597211,Europe
Mauritania,6208,156,2.5128865979381443,Africa
Kosovo,7413,185,2.495615810063402,Europe
Turkey,227019,5630,2.4799686369863316,Europe
Gambia,326,8,2.4539877300613497,Africa
Ukraine,67096,1636,2.438297364969596,Europe
Czech Republic,15516,373,2.4039700953854086,Europe
Lesotho,505,12,2.376237623762376,Africa
Philippines,82040,1945,2.3707947342759628,Western Pacific
DR Congo,8844,208,2.3518769787426503,Africa
Cameroon,17110,391,2.2852133255406195,Africa
Libya,2827,64,2.2638839759462326,Eastern Mediterranean
India,1480073,33408,2.2571859631247917,South-East Asia
Serbia,24141,543,2.249285447993041,Europe
Haiti,7340,158,2.1525885558583107,Americas
Panama,61442,1322,2.1516226685329256,Americas
Pakistan,274289,5842,2.1298703192618005,Eastern Mediterranean
Brunei,141,3,2.127659574468085,Western Pacific
South Korea,14203,300,2.1122298106033934,Western Pacific
Nigeria,41180,860,2.0883924235065567,Africa
Togo,874,18,2.059496567505721,Africa
South Sudan,2305,46,1.9956616052060738,Africa
Senegal,9764,194,1.9868906185989348,Africa
Benin,1770,35,1.977401129943503,Africa
Comoros,354,7,1.977401129943503,Africa
Armenia,37390,711,1.901577962021931,Europe
Argentina,167416,3059,1.827184976346347,Americas
Cyprus,1060,19,1.7924528301886793,Europe
Luxembourg,6321,112,1.7718715393133997,Europe
Thailand,3297,58,1.7591750075826509,South-East Asia
Myanmar,350,6,1.7142857142857144,South-East Asia
Dominican Republic,64156,1083,1.688072822495168,Americas
Congo,3200,54,1.6875,Africa
Equatorial Guinea,3071,51,1.660696841419733,Africa
Russia,816680,13334,1.632708037419797,Europe
Sao Tome and Principe,865,14,1.6184971098265895,Africa
Suriname,1483,24,1.6183412002697235,Americas
Kenya,17975,285,1.5855354659248957,Africa
Ethiopia,14547,228,1.5673334708187256,Africa
South Africa,452529,7067,1.5616678710093719,Africa
Montenegro,2893,45,1.555478741790529,Europe
Taiwan,462,7,1.5151515151515151,Western Pacific
Morocco,20887,316,1.5129027624838416,Eastern Mediterranean
Eswatini,2316,34,1.468048359240069,Africa
New Zealand,1557,22,1.4129736673089275,Western Pacific
Georgia,1137,16,1.4072119613016711,Europe
Malaysia,8904,124,1.3926325247079965,Western Pacific
Azerbaijan,30446,423,1.389345069959929,Europe
Zimbabwe,2704,36,1.3313609467455623,Africa
Guinea-Bissau,1954,26,1.3306038894575232,Africa
Lebanon,3882,51,1.313755795981453,Eastern Mediterranean
Bangladesh,226225,2965,1.310642059896121,South-East Asia
Malta,701,9,1.2838801711840229,Europe
Slovakia,2181,28,1.2838147638697845,Europe
Central African Republic,4599,59,1.2828875842574472,Africa
Jamaica,853,10,1.1723329425556859,Americas
Liechtenstein,86,1,1.1627906976744187,Europe
Djibouti,5059,58,1.1464716347104171,Eastern Mediterranean
Australia,15303,167,1.0912892896817616,Western Pacific
Saudi Arabia,268934,2760,1.0262741044271086,Eastern Mediterranean
Paraguay,4548,43,0.9454705364995603,Americas
Cabo Verde,2328,22,0.9450171821305842,Africa
Madagascar,9690,91,0.9391124871001032,Africa
Jordan,1176,11,0.935374149659864,Eastern Mediterranean
Venezuela,15988,146,0.9131848886664998,Americas
Tajikistan,7235,60,0.82930200414651,Europe
Belarus,67251,538,0.7999881042661077,Europe
Israel,63985,474,0.7407986246776588,Europe
West Bank and Gaza,10621,78,0.7343941248470013,Eastern Mediterranean
Costa Rica,15841,115,0.7259642699324538,Americas
Kazakhstan,84648,585,0.6910972497873547,Europe
Gabon,7189,49,0.6815968841285297,Africa
Kuwait,64379,438,0.680346075583653,Eastern Mediterranean
Mozambique,1701,11,0.6466784244562023,Africa
Guinea,7055,45,0.6378454996456413,Africa
Cote d'Ivoire,15655,96,0.613222612583839,Africa
United Arab Emirates,59177,345,0.5829967723946804,Eastern Mediterranean
Uzbekistan,21209,121,0.5705125182705455,Europe
Iceland,1854,10,0.5393743257820928,Europe
Oman,77058,393,0.5100054504399283,Eastern Mediterranean
Ghana,33624,168,0.4996431120628123,Africa
Maldives,3369,15,0.44523597506678536,South-East Asia
Namibia,1843,8,0.4340748779164406,Africa
Sri Lanka,2805,11,0.39215686274509803,South-East Asia
Bahrain,39482,141,0.3571247657160225,Eastern Mediterranean
Botswana,739,2,0.2706359945872801,Africa
Rwanda,1879,5,0.2660989888238425,Africa
Burundi,378,1,0.26455026455026454,Africa
Nepal,18752,48,0.25597269624573377,South-East Asia
Uganda,1128,2,0.1773049645390071,Africa
Qatar,109597,165,0.1505515661925053,Eastern Mediterranean
Singapore,50838,27,0.05310987843738935,Western Pacific
Bhutan,99,0,0.0,South-East Asia
Cambodia,226,0,0.0,Western Pacific
Dominica,18,0,0.0,Americas
Eritrea,265,0,0.0,Africa
Fiji,27,0,0.0,Western Pacific
Greenland,14,0,0.0,Europe
Grenada,23,0,0.0,Americas
Holy See,12,0,0.0,Europe
Laos,20,0,0.0,Western Pacific
Mongolia,289,0,0.0,Western Pacific
Papua New Guinea,62,0,0.0,Western Pacific
Saint Kitts and Nevis,17,0,0.0,Americas
Saint Lucia,24,0,0.0,Americas
Saint Vincent and the Grenadines,52,0,0.0,Americas
Seychelles,114,0,0.0,Africa
Timor-Leste,24,0,0.0,South-East Asia
Vietnam,431,0,0.0,Western Pacific
