Area,Confirmed,Recovered,recovery_rate,WHO Region
Dominica,18,18,100.0,Americas
Grenada,23,23,100.0,Americas
Holy See,12,12,100.0,Europe
Djibouti,5059,4977,98.37912630954733,Eastern Mediterranean
Iceland,1854,1823,98.3279395900755,Europe
Brunei,141,138,97.87234042553192,Western Pacific
New Zealand,1557,1514,97.23827874116891,Western Pacific
Qatar,109597,106328,97.0172541219194,Eastern Mediterranean
Malaysia,8904,8601,96.59703504043127,Western Pacific
Mauritius,344,332,96.51162790697676,Africa
Norway,9132,8752,95.83880858519493,Europe
Taiwan,462,440,95.23809523809523,Western Pacific
Laos,20,19,95.0,Western Pacific
Malta,701,665,94.8644793152639,Europe
Estonia,2034,1923,94.54277286135692,Europe
Thailand,3297,3111,94.35850773430391,South-East Asia
Liechtenstein,86,81,94.18604651162791,Europe
San Marino,699,657,93.99141630901288,Europe
Finland,7398,6920,93.53879426872128,Europe
Greenland,14,13,92.85714285714286,Europe
Cuba,2532,2351,92.85150078988941,Americas
Turkey,227019,210469,92.7098612891432,Europe
Comoros,354,328,92.65536723163842,Africa
Chile,347923,319954,91.96115232393375,Americas
Germany,207112,190314,91.88941249179187,Europe
Saint Lucia,24,22,91.66666666666666,Americas
Denmark,13761,12605,91.59944771455562,Europe
South Korea,14203,13007,91.5792438217278,Western Pacific
Bahrain,39482,36110,91.45939921989768,Eastern Mediterranean
China,86783,78869,90.88070244172246,Western Pacific
Niger,1132,1027,90.7243816254417,Africa
Ireland,25892,23364,90.23636644523405,Europe
Belarus,67251,60492,89.94959182763081,Europe
Singapore,50838,45692,89.87765057634053,Western Pacific
Monaco,116,104,89.65517241379311,Europe
Switzerland,34477,30900,89.62496736955072,Europe
Austria,20558,18246,88.75376982196713,Europe
United Arab Emirates,59177,52510,88.73379860418744,Eastern Mediterranean
Guinea,7055,6257,88.6888731396173,Africa
Ghana,33624,29801,88.63014513442778,Africa
Andorra,907,803,88.53362734288865,Europe
Jordan,1176,1041,88.5204081632653,Eastern Mediterranean
Saint Kitts and Nevis,17,15,88.23529411764706,Americas
Pakistan,274289,241026,87.87300985456945,Eastern Mediterranean
Chad,922,810,87.85249457700651,Africa
Uganda,1128,986,87.41134751773049,Africa
Iran,293606,255144,86.90013146870295,Eastern Mediterranean
Bhutan,99,86,86.86868686868688,South-East Asia
Trinidad and Tobago,148,128,86.48648648648648,Americas
Latvia,1219,1045,85.72600492206726,Europe
Kuwait,64379,55057,85.52012302148216,Eastern Mediterranean
Barbados,110,94,85.45454545454545,Americas
Cameroon,17110,14539,84.97369959088252,Africa
Sao Tome and Principe,865,734,84.85549132947978,Africa
Vietnam,431,365,84.68677494199535,Western Pacific
Burkina Faso,1100,926,84.18181818181819,Africa
Jamaica,853,714,83.70457209847598,Americas
Myanmar,350,292,83.42857142857143,South-East Asia
Tajikistan,7235,6028,83.31720801658604,Europe
Slovenia,2087,1733,83.03785337805462,Europe
Saudi Arabia,268934,222936,82.89617526976879,Eastern Mediterranean
Georgia,1137,922,81.09058927000879,Europe
Croatia,4881,3936,80.63921327596803,Europe
Italy,246286,198593,80.63511527248808,Europe
Cyprus,1060,852,80.37735849056604,Europe
Lithuania,2019,1620,80.23774145616642,Europe
Western Sahara,10,8,80.0,Africa
Burundi,378,301,79.62962962962963,Africa
Tunisia,1455,1157,79.51890034364261,Eastern Mediterranean
Morocco,20887,16553,79.25025135251592,Eastern Mediterranean
Uruguay,1202,951,79.11813643926789,Americas
Mexico,395489,303810,76.8188242909411,Americas
Mongolia,289,222,76.8166089965398,Western Pacific
Azerbaijan,30446,23242,76.33843526243184,Europe
Luxembourg,6321,4825,76.3328587248853,Europe
Mali,2513,1913,76.1241543971349,Africa
Poland,43402,32856,75.70158057232386,Europe
Sri Lanka,2805,2121,75.61497326203208,South-East Asia
Brazil,2442375,1846641,75.60841394134808,Americas
