Area,Confirmed,Deaths,Recovered,Active,Population,infection_rate,death_rate,recovery_rate,Severity
USA,4290259,148011,1325804,2816444,331198130.0,1.2953753694201111,3.4499315775574386,30.902656459668286,Critical
Brazil,2442375,87618,1846641,508116,212710692.0,1.1482144959596108,3.5874097957930293,75.60841394134808,Critical
India,1480073,33408,951166,495499,1381344997.0,0.10714723716482247,2.2571859631247917,64.26480315497952,Critical
Russia,816680,13334,602249,201097,145940924.0,0.5595962925382054,1.632708037419797,73.74357153352598,High
South Africa,452529,7067,274925,170537,59381566.0,0.7620698315702891,1.5616678710093719,60.75301251411511,High
Mexico,395489,44022,303810,47657,129066160.0,0.3064234652987274,11.131030193001576,76.8188242909411,High
Peru,389717,18418,272547,98752,33016319.0,1.180376891803111,4.725993477318156,69.93459356404776,High
Chile,347923,9187,319954,18782,19132514.0,1.8184907639424697,2.640526783225024,91.96115232393375,High
United Kingdom,301708,45844,1437,254427,,,15.194824134593713,0.47628833176448754,High
Iran,293606,15912,255144,22550,84097623.0,0.34912520654715773,5.419507775726654,86.90013146870295,High
Pakistan,274289,5842,241026,27421,221295851.0,0.12394674313166405,2.1298703192618005,87.87300985456945,High
Spain,272421,28432,150376,93613,46756648.0,0.5826358638882754,10.436787178668311,55.19985610507266,High
Saudi Arabia,268934,2760,222936,43238,34865919.0,0.7713377639637148,1.0262741044271086,82.89617526976879,High
Colombia,257101,8777,131161,117163,50936262.0,0.5047504271122212,3.4138334740043796,51.01535972244371,High
Italy,246286,35112,198593,12581,60452568.0,0.40740370202304726,14.256595990027854,80.63511527248808,High
Turkey,227019,5630,210469,10920,84428331.0,0.2688895982084497,2.4799686369863316,92.7098612891432,High
Bangladesh,226225,2965,125683,97577,164851401.0,0.13722964962851603,1.310642059896121,55.5566360923859,High
France,220352,30212,81212,108928,65288306.0,0.3375060765093216,13.71079000871333,36.855576532094105,High
Germany,207112,9125,190314,7673,83811260.0,0.24711715347078664,4.405828730348796,91.88941249179187,High
Argentina,167416,3059,72575,91782,45236884.0,0.3700873826764903,1.827184976346347,43.35009795957376,High
Canada,116458,8944,0,107514,37775022.0,0.3082936655867467,7.68002198217383,0.0,High
Iraq,112585,4458,77144,30983,40306025.0,0.27932548545781927,3.9596749122884933,68.52067326908558,High
Qatar,109597,165,106328,3104,2807805.0,3.903298127897058,0.1505515661925053,97.0172541219194,High
Indonesia,100303,4838,58173,37292,273808365.0,0.03663255503534379,4.82338514301666,57.99726827712033,High
Egypt,92482,4652,34838,52992,102516525.0,0.09021179756141753,5.0301680326982545,37.670033087519734,Medium
China,86783,4656,78869,3258,,,5.365106069161011,90.88070244172246,Medium
Kazakhstan,84648,585,54404,29659,18798667.0,0.4502872464308241,0.6910972497873547,64.27086286740384,Medium
Philippines,82040,1945,26446,53649,109722719.0,0.07477029438178615,2.3707947342759628,32.23549488054607,Medium
Ecuador,81161,5532,34896,40733,17668824.0,0.45934579460410035,6.8160816155542685,42.9960202560343,Medium
Sweden,79395,5700,0,73695,10105596.0,0.7856538100276321,7.179293406385792,0.0,Medium
Oman,77058,393,57028,19637,5118446.0,1.5054960040606076,0.5100054504399283,74.00659243686573,Medium
Bolivia,71181,2647,21478,47056,11688459.0,0.608985324754957,3.718688975990784,30.173782329554232,Medium
Belarus,67251,538,60492,6221,9449001.0,0.711726033260024,0.7999881042661077,89.94959182763081,Medium
Ukraine,67096,1636,37202,28258,43705858.0,0.15351717840661086,2.438297364969596,55.44592822224872,Medium
Belgium,66428,9822,17452,39154,11594739.0,0.5729150091261218,14.785933642439936,26.272053953152287,Medium
Kuwait,64379,438,55057,8884,4276658.0,1.5053576881761412,0.680346075583653,85.52012302148216,Medium
Dominican Republic,64156,1083,30204,32869,10858648.0,0.5908286188114764,1.688072822495168,47.07899494980984,Medium
Israel,63985,474,27133,36378,9197590.0,0.695671366086116,0.7407986246776588,42.40525123075721,Medium
Panama,61442,1322,35086,25034,4321282.0,1.421846572382918,2.1516226685329256,57.10426092900621,Medium
United Arab Emirates,59177,345,52510,6322,,,0.5829967723946804,88.73379860418744,Medium
Netherlands,53413,6160,189,47064,17138756.0,0.31165039049508614,11.532772920450078,0.35384644187744557,Medium
Singapore,50838,27,45692,5119,5854932.0,0.8682936027267268,0.05310987843738935,89.87765057634053,Medium
Portugal,50299,1719,35375,13205,10193593.0,0.49343739739265635,3.417562973418955,70.32943000854888,Medium
Romania,45902,2206,25794,17902,19224023.0,0.23877416293145304,4.805890810857915,56.19362990719359,Medium
Guatemala,45309,1761,32455,11093,17946899.0,0.2524614419460432,3.886645037409786,71.63036041404578,Medium
Poland,43402,1676,32856,8870,37842302.0,0.11469175421727779,3.8615731993917333,75.70158057232386,Medium
Nigeria,41180,860,18203,22117,206606300.0,0.019931628415977634,2.0883924235065567,44.20349684312773,Medium
Honduras,39741,1166,5039,33536,9919704.0,0.4006268735438074,2.933997634684583,12.679600412672052,Medium
Bahrain,39482,141,36110,3231,1706669.0,2.313395274654898,0.3571247657160225,91.45939921989768,Medium
Armenia,37390,711,26665,10014,2963811.0,1.261551428211853,1.901577962021931,71.31585985557636,Medium
Afghanistan,36263,1269,25198,9796,39009447.0,0.09295953362271452,3.499434685492099,69.48680473209608,Medium
Switzerland,34477,1978,30900,1599,8660952.0,0.39807402234765876,5.737158105403602,89.62496736955072,Medium
Ghana,33624,168,29801,3655,31133483.0,0.10799948081620037,0.4996431120628123,88.63014513442778,Medium
Kyrgyzstan,33296,1301,21205,10790,6534479.0,0.5095433010037984,3.9073762614127823,63.686328688130715,Medium
Japan,31142,998,21970,8174,126435859.0,0.024630670639094562,3.2046753580373775,70.5478132425663,Medium
Azerbaijan,30446,423,23242,6781,10148243.0,0.30001252433549336,1.389345069959929,76.33843526243184,Medium
Algeria,27973,1163,18837,7973,43926079.0,0.06368198718579002,4.1575805240767885,67.33993493726092,Medium
Ireland,25892,1764,23364,764,4943200.0,0.5237902573231914,6.812915186157886,90.23636644523405,Medium
Serbia,24141,543,0,23598,8733665.0,0.27641316675187333,2.249285447993041,0.0,Medium
Moldova,23154,748,16154,6252,4032983.0,0.5741159831320886,3.2305433186490458,69.76764273991535,Medium
Uzbekistan,21209,121,11674,9414,33516027.0,0.06328017339286664,0.5705125182705455,55.042670564383045,Medium
Morocco,20887,316,16553,4018,36953359.0,0.05652260191015382,1.5129027624838416,79.25025135251592,Medium
Austria,20558,713,18246,1599,9011577.0,0.228128772577763,3.46823620974803,88.75376982196713,Medium
Nepal,18752,48,13754,4950,29186486.0,0.06424891300720477,0.25597269624573377,73.34684300341297,Medium
Kenya,17975,285,7833,9857,53881160.0,0.03336045474893265,1.5855354659248957,43.57719054242003,Medium
Cameroon,17110,391,14539,2180,26606188.0,0.06430834811811448,2.2852133255406195,84.97369959088252,Medium
Venezuela,15988,146,9959,5883,28427499.0,0.05624131760588577,0.9131848886664998,62.29046785088816,Medium
Costa Rica,15841,115,3824,11902,5098730.0,0.31068520984637354,0.7259642699324538,24.139890158449592,Medium
Cote d'Ivoire,15655,96,10361,5198,,,0.613222612583839,66.18332801022038,Medium
Czech Republic,15516,373,11428,3715,10711019.0,0.1448601668991531,2.4039700953854086,73.65300335137923,Medium
Australia,15303,167,9311,5825,25528864.0,0.05994391289796522,1.0912892896817616,60.84427889956218,Medium
El Salvador,15035,408,7778,6849,6489514.0,0.23168144794818227,2.7136681077485867,51.73262387761889,Medium
Ethiopia,14547,228,6386,7933,115223736.0,0.012625002890029532,1.5673334708187256,43.899085722142026,Medium
South Korea,14203,300,13007,896,,,2.1122298106033934,91.5792438217278,Medium
Denmark,13761,613,12605,543,5794279.0,0.23749287875161,4.454618123682872,91.59944771455562,Medium
Sudan,11424,720,5939,4765,43943536.0,0.025996997601649537,6.302521008403361,51.98704481792718,Medium
Bulgaria,10621,347,5585,4689,6942854.0,0.1529774355041889,3.267112324639864,52.584502400903865,Medium
West Bank and Gaza,10621,78,3752,6791,,,0.7343941248470013,35.326240466999344,Medium
Bosnia and Herzegovina,10498,294,4930,5274,3278650.0,0.32019276226495663,2.8005334349399886,46.96132596685083,Medium
North Macedonia,10213,466,5564,4183,2083365.0,0.49021654870845965,4.562812102222658,54.47958484284735,Medium
Senegal,9764,194,6477,3093,16783877.0,0.058174878188156406,1.9868906185989348,66.33551823023352,Low
Madagascar,9690,91,6260,3339,27755708.0,0.03491173779461868,0.9391124871001032,64.60268317853458,Low
Norway,9132,255,8752,125,5425471.0,0.16831718389057834,2.7923784494086727,95.83880858519493,Low
Malaysia,8904,124,8601,179,32406372.0,0.027476077852837094,1.3926325247079965,96.59703504043127,Low
DR Congo,8844,208,5700,2936,,,2.3518769787426503,64.45047489823608,Low
Kosovo,7413,185,4027,3201,,,2.495615810063402,54.32348576824497,Low
Finland,7398,329,6920,149,5541604.0,0.1334992540066017,4.447147877804812,93.53879426872128,Low
Haiti,7340,158,4365,2817,11416103.0,0.06429514519972358,2.1525885558583107,59.46866485013624,Low
Tajikistan,7235,60,6028,1147,9557468.0,0.07569996572313922,0.82930200414651,83.31720801658604,Low
Gabon,7189,49,4682,2458,2230563.0,0.3222953128873742,0.6815968841285297,65.12727778550563,Low
Guinea,7055,45,6257,753,13164905.0,0.05358944861356766,0.6378454996456413,88.6888731396173,Low
Luxembourg,6321,112,4825,1384,626952.0,1.008211154920951,1.7718715393133997,76.3328587248853,Low
Mauritania,6208,156,4653,1399,4660728.0,0.13319807549378554,2.5128865979381443,74.95167525773195,Low
Djibouti,5059,58,4977,24,989387.0,0.5113267103772335,1.1464716347104171,98.37912630954733,Low
Croatia,4881,139,3936,806,4102577.0,0.11897400097548444,2.8477770948576113,80.63921327596803,Low
Albania,4880,144,2745,1991,2877470.0,0.16959342755962703,2.9508196721311477,56.25,Low
Central African Republic,4599,59,1546,2994,,,1.2828875842574472,33.616003479017174,Low
Zambia,4552,140,2815,1597,18430129.0,0.024698687676033088,3.0755711775043935,61.840949033391915,Low
Paraguay,4548,43,2905,1600,7141091.0,0.06368774743243014,0.9454705364995603,63.87423043095867,Low
Hungary,4448,596,3329,523,9657785.0,0.04605610913889675,13.399280575539569,74.84262589928058,Low
Greece,4227,202,1374,2651,10417673.0,0.04057528010333978,4.778802933522592,32.50532292405961,Low
Lebanon,3882,51,1709,2122,6822220.0,0.056902298665243864,1.313755795981453,44.0236991241628,Low
Malawi,3664,99,1645,1920,19174839.0,0.01910837426066524,2.7019650655021836,44.896288209606986,Low
Nicaragua,3439,108,2492,839,6632263.0,0.051852587872344626,3.1404478045943587,72.46292526897355,Low
Maldives,3369,15,2547,807,541448.0,0.6222204163650065,0.44523597506678536,75.60106856634016,Low
Thailand,3297,58,3111,128,69817894.0,0.004722285092128388,1.7591750075826509,94.35850773430391,Low
Congo,3200,54,829,2317,5530506.0,0.057860890124701074,1.6875,25.906249999999996,Low
Somalia,3196,93,1543,1560,15933012.0,0.020058981942648383,2.909887359198999,48.27909887359199,Low
Equatorial Guinea,3071,51,842,2178,1407001.0,0.21826565865980196,1.660696841419733,27.417779225008143,Low
Montenegro,2893,45,809,2039,628074.0,0.46061451357642574,1.555478741790529,27.964051157967507,Low
Libya,2827,64,577,2186,6880353.0,0.04108800812981543,2.2638839759462326,20.410328970640254,Low
Sri Lanka,2805,11,2121,673,21422362.0,0.013093794232400705,0.39215686274509803,75.61497326203208,Low
Zimbabwe,2704,36,542,2126,14883803.0,0.018167399823821907,1.3313609467455623,20.04437869822485,Low
Cuba,2532,87,2351,94,11325899.0,0.022355841244920162,3.4360189573459716,92.85150078988941,Low
Mali,2513,124,1913,476,20302901.0,0.012377541514880066,4.934341424592121,76.1241543971349,Low
Cabo Verde,2328,22,1550,756,556581.0,0.41826796099759067,0.9450171821305842,66.5807560137457,Low
Eswatini,2316,34,1025,1257,1161348.0,0.19942342863637774,1.468048359240069,44.2573402417962,Low
South Sudan,2305,46,1175,1084,11206572.0,0.020568287965311783,1.9956616052060738,50.97613882863341,Low
Slovakia,2181,28,1616,537,5459915.0,0.03994567680998697,1.2838147638697845,74.094452086199,Low
Slovenia,2087,116,1733,238,2078968.0,0.10038634553297598,5.558217537134643,83.03785337805462,Low
Estonia,2034,69,1923,42,1326627.0,0.15332116714042457,3.392330383480826,94.54277286135692,Low
Lithuania,2019,80,1620,319,2718121.0,0.07427925394049786,3.96235760277365,80.23774145616642,Low
Guinea-Bissau,1954,26,803,1125,1972277.0,0.09907330461187754,1.3306038894575232,41.095189355168884,Low
Rwanda,1879,5,975,899,12981546.0,0.014474393111575461,0.2660989888238425,51.889302820649284,Low
Iceland,1854,10,1823,21,341465.0,0.5429546219963979,0.5393743257820928,98.3279395900755,Low
Namibia,1843,8,101,1734,2545264.0,0.07240899175881166,0.4340748779164406,5.480195333695062,Low
Sierra Leone,1783,66,1317,400,7992169.0,0.02230933805328691,3.701626472237801,73.86427369601795,Low
Benin,1770,35,1036,699,12151976.0,0.014565532387489902,1.977401129943503,58.53107344632769,Low
Mozambique,1701,11,0,1690,31333962.0,0.005428614485458302,0.6466784244562023,0.0,Low
